index,title,link,date
56, 이정미 “대통령 결선투표 원포인트 개헌···재창당 8~9월쯤 마무리”,https://www.khan.co.kr/politics/politics-general/article/202301171524011,2023.01.17 15:24
57," 윤 대통령 “한·일관계, 깊은 질곡에 빠져있었으나 최근 개선 흐름”",https://www.khan.co.kr/politics/politics-general/article/202301171517001,2023.01.17 15:17
58," “여론조사 블랙아웃 없애자”···선관위, 국회에 선거법 개정의견 제출",https://www.khan.co.kr/politics/politics-general/article/202301171508001,2023.01.17 15:08
59," 만19~34세 청년, 올해부터 정부 부처에서도 인턴 가능",https://www.khan.co.kr/politics/politics-general/article/202301171451001,2023.01.17 14:51
60," 국민의힘, 김성태 귀국에 “이재명 불법 리스크, 이제 시작” 총공세",https://www.khan.co.kr/politics/politics-general/article/202301171339001,2023.01.17 13:39
61," 당정 “설 연휴, 전통시장·지하철 인파관리”",https://www.khan.co.kr/politics/politics-general/article/202301171139001,2023.01.17 11:39
62," 나경원 “내 해임 대통령 본의 아냐, 전달과정 왜곡···그걸 바로잡는 당대표 필요”",https://www.khan.co.kr/politics/politics-general/article/202301171107001,2023.01.17 11:07
63, 박홍근 “이재명 악마화에 여념 없어···김건희 특검 통해서라도 진상규명”,https://www.khan.co.kr/politics/politics-general/article/202301170953001,2023.01.17 09:53
64," 한동훈과 국민의힘의 ‘티키타카’···“이재명, 성남FC 무혐의 처분 한 번도 없어”",https://www.khan.co.kr/politics/politics-general/article/202301161931001,2023.01.16 19:31
65, 홍준표 “나경원 당대표 출마 가능성 높아”…대형마트 일요휴무제는 ‘좌파 포퓰리즘’,https://www.khan.co.kr/politics/politics-general/article/202301161720001,2023.01.16 17:20
66," 김건희 여사, UAE 대통령 모친 파티마 여사와 만찬",https://www.khan.co.kr/politics/politics-general/article/202301161710001,2023.01.16 17:10
67, 이재명 “대일 저자세 굴종 외교 점입가경”···윤석열 정부 강제동원 해법 비판,https://www.khan.co.kr/politics/politics-general/article/202301161616001,2023.01.16 16:16
68, 김기현 “김장연대 철 지나···더 이상 안 써줬으면”,https://www.khan.co.kr/politics/politics-general/article/202301161551001,2023.01.16 15:51
69," 법사위, 양곡관리법 단독 상정에 파행···“단독 처리 막아야” VS “이미 법사위 손 떠나”",https://www.khan.co.kr/politics/politics-general/article/202301161544001,2023.01.16 15:44
70," [단독]국민의힘 당원가입 이유가 전광훈?···검색량으로 분석한 당심, 누구 뽑을까",https://www.khan.co.kr/politics/politics-general/article/202301161511001,2023.01.16 15:11
71," 정진석 “내년 총선, 당대표가 아니라 윤 대통령 얼굴로 치러질 것”",https://www.khan.co.kr/politics/politics-general/article/202301161017001,2023.01.16 10:17
72, 박홍근 “윤 대통령이 해임할 사람은 나경원 아니라 이상민”,https://www.khan.co.kr/politics/politics-general/article/202301161001001,2023.01.16 10:01
73, [리얼미터]윤 대통령 지지율 5주 만에 30%대···나경원 해임한 날 38%,https://www.khan.co.kr/politics/politics-general/article/202301160831001,2023.01.16 08:31
74, 나경원 “윤 대통령 40조 투자 유치 가슴 벅차”···논쟁 중 장제원과 온도차,https://www.khan.co.kr/politics/politics-general/article/202301160814001,2023.01.16 08:14
75, 문재인 정부 인사 모인 정책포럼 사의재 18일 발족···“실추된 국격 회복”,https://www.khan.co.kr/politics/politics-general/article/202301160745001,2023.01.16 07:45
76," 당정, 오늘 교육개혁 방향 논의···특권층 귀족학교 우려 해소될까",https://www.khan.co.kr/politics/politics-general/article/202301160724001,2023.01.16 07:24
77, 설 앞두고 ‘개헌’과 ‘기본사회’ 들고나온 이재명···반전 카드 될까,https://www.khan.co.kr/politics/politics-general/article/202301151645001,2023.01.15 16:45
78," 국민의힘 당권주자들, 잇단 ‘수도권 행보’···속내는 복잡",https://www.khan.co.kr/politics/politics-general/article/202301151619001,2023.01.15 16:19
79, 유승민 “대통령 공격하면 제재?···여기가 북한이냐”,https://www.khan.co.kr/politics/politics-general/article/202301151556001,2023.01.15 15:56
80, 나경원 언급한 2016년 ‘진박감별사’ 논란···결과는 총선 참패,https://www.khan.co.kr/politics/politics-general/article/202301151428001,2023.01.15 14:28
81, 원희룡 장관 “동작구 이사는 아내출근 등 고려한 것···총선 관계 없어”,https://www.khan.co.kr/politics/politics-general/article/202301151213001,2023.01.15 12:13
